,angleRotated,color,length,logWidthLengthRatio,x,y,centerX,centerY,width,lengthRotatedProjectX,widthRotatedProjectX,lengthRotatedProjectY,widthRotatedProjectY,vertexRightBottom,vertexRightTop,vertexLeftBottom,vertexLeftTop
0,1.7562057288960475,0.5948535579869269,41.17780744213308,-0.6890600964769951,34.87172810784513,33.96281806173978,30,30,20.673224497425476,-7.591084917427864,20.318903211820356,40.47205524207771,-3.8110869039723063,"(41, 56)","(20, 52)","(48, 15)","(28, 11)"
1,2.0733699602034057,0.7402675140618686,46.561269350216996,-0.5545822688245843,31.68587892945211,90.91166952084119,30,90,26.740701271836652,-22.42774974837699,23.434101015930274,40.80377243255374,-12.88052848623775,"(32, 117)","(8, 104)","(54, 76)","(31, 64)"
2,1.9743261186605618,0.6572172627042284,44.79283853482505,-0.7551635955901252,29.66191754604034,142.0473031553736,30,150,21.049665661106182,-17.588672359813373,19.358971107222313,41.195108794929105,-8.265510396465814,"(30, 166)","(11, 158)","(48, 125)","(28, 117)"
3,2.008778056255064,0.7446740836668289,38.266653041861,-0.6221732071381543,31.78881517118417,207.6971652237138,30,210,20.54064553160573,-16.229368381822216,18.601803339202732,34.65464380069833,-8.71154586653256,"(32, 229)","(14, 220)","(49, 194)","(30, 186)"
4,1.9493107235221592,0.7379172184770593,45.0211630575636,-0.7286250681569617,20.130197133660836,275.931048991385,30,270,21.72595440191267,-16.63714010777711,20.188075142601782,41.8343243293103,-8.028618605379915,"(21, 300)","(1, 292)","(38, 259)","(18, 250)"
5,1.7163050013975136,0.7652786760428614,36.2143108418746,-0.6585531198536209,25.82703161573142,321.3642750415445,30,330,18.744516343863097,-5.25092107138782,18.546429510410128,35.83160808077097,-2.717875159152668,"(32, 340)","(13, 337)","(37, 304)","(19, 302)"
6,1.5295920223925694,0.7130460707465075,40.76507118215368,-0.7412309202967593,39.73433509387019,390.95713832642537,30,390,19.42565657068484,1.6792211457096646,19.40916851526335,40.730470717017965,0.8001941941185274,"(50, 410)","(30, 411)","(48, 370)","(29, 370)"
7,1.659824878702217,0.6189397993265673,41.93035206045043,-0.7819928590148578,31.526319212017935,457.3428776217751,30,450,19.182858590428136,-3.7280691361236027,19.106886325320655,41.76429006255945,-1.7055669590013554,"(39, 479)","(20, 477)","(42, 437)","(23, 435)"
8,1.722658940075709,0.6319877573644017,39.4918699485113,-0.6610231216026295,90.85554686918601,39.97831611159579,90,30,20.390552993373795,-5.974313117151282,20.155878475024114,39.03735870686392,-3.0846740955317453,"(97, 61)","(77, 57)","(103, 22)","(83, 18)"
9,1.8991498186774765,0.6848320405573324,47.797587033775585,-0.7855229073390058,79.65354594836114,87.4569918553933,90,90,21.79002400088651,-15.414001196264383,20.62588326154315,45.24398184701378,-7.0269542221651236,"(82, 113)","(61, 106)","(97, 68)","(77, 61)"
10,1.847904732516082,0.7124809911202691,43.2842225297893,-0.6749483249660947,97.25626218450066,152.7889401971092,90,150,22.03957867859789,-11.84150345619198,21.198780383781898,41.63295228428213,-6.029489080369129,"(101, 176)","(80, 170)","(113, 134)","(92, 128)"
11,1.9024857532641963,0.5348353335242143,37.88565895523838,-0.6424754144544514,92.7412332865257,208.29464857397556,90,210,19.92743119092812,-12.337117585465183,18.841257596136735,35.82064605998948,-6.489185315984953,"(95, 229)","(77, 222)","(108, 193)","(89, 187)"
12,2.068755261394344,0.6990696452687971,39.776849532003006,-0.5423343852040183,86.9510808057623,261.99471967111907,90,270,23.125841867121288,-18.998749409699766,20.317422797684166,34.94631997162277,-11.04567304075417,"(87, 284)","(67, 273)","(106, 250)","(86, 238)"
13,2.07594983845069,0.6459758858661524,39.32645714178122,-0.6620695688295365,88.2386052272939,327.9316403108309,90,330,20.283909438702665,-19.03171583174004,17.750453085559304,34.414590275408635,-9.816231322399105,"(87, 350)","(69, 340)","(106, 315)","(88, 305)"
